date,cc,rate
2023-04-18,PLN,8.6711
2023-04-19,PLN,8.688
2023-04-20,PLN,8.6426
2023-04-21,PLN,8.6911
2023-04-22,PLN,8.6911
2023-04-23,PLN,8.6911
2023-04-24,PLN,8.7093
2023-04-25,PLN,8.7324
2023-04-26,PLN,8.7772
2023-04-27,PLN,8.7973
2023-04-28,PLN,8.7901
2023-04-29,PLN,8.7901
2023-04-30,PLN,8.7901
2023-05-01,PLN,8.7577
2023-05-02,PLN,8.7556
2023-05-03,PLN,8.7638
2023-05-04,PLN,8.8151
2023-05-05,PLN,8.8253
2023-05-06,PLN,8.8253
2023-05-07,PLN,8.8253
2023-05-08,PLN,8.7929
2023-05-09,PLN,8.8304
2023-05-10,PLN,8.7745
2023-05-11,PLN,8.8351
2023-05-12,PLN,8.8375
2023-05-13,PLN,8.8375
2023-05-14,PLN,8.8375
2023-05-15,PLN,8.785
2023-05-16,PLN,8.8253
2023-05-17,PLN,8.8677
2023-05-18,PLN,8.7969
2023-05-19,PLN,8.7056
2023-05-20,PLN,8.7056
2023-05-21,PLN,8.7056
2023-05-22,PLN,8.7378
2023-05-23,PLN,8.7545
2023-05-24,PLN,8.7449
2023-05-25,PLN,8.7642
2023-05-26,PLN,8.701
2023-05-27,PLN,8.701
2023-05-28,PLN,8.701
2023-05-29,PLN,8.6684
2023-05-30,PLN,8.6631
2023-05-31,PLN,8.6834
2023-06-01,PLN,8.6062
2023-06-02,PLN,8.6169
2023-06-03,PLN,8.6169
2023-06-04,PLN,8.6169
2023-06-05,PLN,8.7422
2023-06-06,PLN,8.7282
2023-06-07,PLN,8.6934
2023-06-08,PLN,8.7667
2023-06-09,PLN,8.7657
2023-06-10,PLN,8.7657
2023-06-11,PLN,8.7657
2023-06-12,PLN,8.8326
2023-06-13,PLN,8.8662
2023-06-14,PLN,8.8249
2023-06-15,PLN,8.8681
2023-06-16,PLN,8.855
2023-06-17,PLN,8.855
2023-06-18,PLN,8.855
2023-06-19,PLN,8.9655
2023-06-20,PLN,8.9616
2023-06-21,PLN,8.9891
2023-06-22,PLN,9.0095
2023-06-23,PLN,9.0827
2023-06-24,PLN,9.0827
2023-06-25,PLN,9.0827
2023-06-26,PLN,8.9873
2023-06-27,PLN,8.9953
2023-06-28,PLN,9.04
2023-06-29,PLN,8.9425
2023-06-30,PLN,8.9831
2023-07-01,PLN,8.9831
2023-07-02,PLN,8.9831
2023-07-03,PLN,8.9436
2023-07-04,PLN,8.9858
2023-07-05,PLN,9.0104
2023-07-06,PLN,8.9298
2023-07-07,PLN,8.8975
2023-07-08,PLN,8.8975
