date,cc,rate,trend_kind,y_trend,residual
2022-10-01,EUR,35.5611,quadratic,37.54576843624229,-1.9846684362422877
2022-10-02,EUR,35.5611,quadratic,37.55213574904968,-1.9910357490496793
2022-10-03,EUR,35.6361,quadratic,37.558509889346034,-1.922409889346035
2022-10-04,EUR,35.7074,quadratic,37.56489085713135,-1.8574908571313529
2022-10-05,EUR,36.1682,quadratic,37.57127865240564,-1.4030786524056396
2022-10-06,EUR,36.2157,quadratic,37.577673275168884,-1.3619732751688858
2022-10-07,EUR,36.0768,quadratic,37.58407472542109,-1.507274725421091
2022-10-08,EUR,36.0768,quadratic,37.59048300316226,-1.5136830031622637
2022-10-09,EUR,36.0768,quadratic,37.5968981083924,-1.5200981083924034
2022-10-10,EUR,35.797,quadratic,37.6033200411115,-1.8063200411115048
2022-10-11,EUR,35.4587,quadratic,37.60974880131956,-2.151048801319561
2022-10-12,EUR,35.5465,quadratic,37.61618438901659,-2.0696843890165866
2022-10-13,EUR,35.5026,quadratic,37.62262680420258,-2.120026804202581
2022-10-14,EUR,35.6306,quadratic,37.629076046877536,-1.9984760468775349
2022-10-15,EUR,35.6306,quadratic,37.63553211704145,-2.0049321170414487
2022-10-16,EUR,35.6306,quadratic,37.64199501469433,-2.0113950146943296
2022-10-17,EUR,35.5337,quadratic,37.64846473983617,-2.1147647398361684
2022-10-18,EUR,35.6196,quadratic,37.65494129246698,-2.035341292466981
2022-10-19,EUR,35.9451,quadratic,37.661424672586755,-1.716324672586758
2022-10-20,EUR,35.7623,quadratic,37.66791488019549,-1.9056148801954862
2022-10-21,EUR,35.8866,quadratic,37.674411915293184,-1.787811915293183
2022-10-22,EUR,35.8866,quadratic,37.68091577787985,-1.794315777879845
2022-10-23,EUR,35.8866,quadratic,37.687426467955476,-1.8008264679554742
2022-10-24,EUR,35.6379,quadratic,37.693943985520065,-2.0560439855200627
2022-10-25,EUR,35.9579,quadratic,37.700468330573614,-1.7425683305736115
2022-10-26,EUR,36.0804,quadratic,37.70699950311613,-1.6265995031161324
