date,cc,rate,trend_kind,y_trend,residual
2022-12-19,CNY,5.245,quadratic,5.135923889053411,0.10907611094658876
2022-12-20,CNY,5.2442,quadratic,5.136316145344216,0.10788385465578454
2022-12-21,CNY,5.2471,quadratic,5.1367092270929025,0.1103907729070972
2022-12-22,CNY,5.2403,quadratic,5.1371031342994735,0.10319686570052689
2022-12-23,CNY,5.2381,quadratic,5.137497866963929,0.10060213303607135
2022-12-24,CNY,5.2381,quadratic,5.137893425086267,0.10020657491373353
2022-12-25,CNY,5.2381,quadratic,5.138289808666489,0.09981019133351143
2022-12-26,CNY,5.2349,quadratic,5.138687017704595,0.09621298229540454
2022-12-27,CNY,5.2372,quadratic,5.139085052200584,0.09811494779941565
2022-12-28,CNY,5.2506,quadratic,5.139483912154457,0.11111608784554328
2022-12-29,CNY,5.2426,quadratic,5.1398835975662145,0.10271640243378588
2022-12-30,CNY,5.2517,quadratic,5.140284108435854,0.11141589156414522
2022-12-31,CNY,5.2517,quadratic,5.1406854447633785,0.11101455523662107
2023-01-01,CNY,5.2517,quadratic,5.141087606548787,0.11061239345121265
2023-01-02,CNY,5.3008,quadratic,5.141490593792078,0.1593094062079219
2023-01-03,CNY,5.2506,quadratic,5.141894406493253,0.10870559350674736
2023-01-04,CNY,5.2925,quadratic,5.142299044652312,0.15020095534768885
2023-01-05,CNY,5.3117,quadratic,5.142704508269254,0.16899549173074568
2023-01-06,CNY,5.3205,quadratic,5.143110797344081,0.1773892026559194
2023-01-07,CNY,5.3205,quadratic,5.14351791187679,0.1769820881232098
2023-01-08,CNY,5.3205,quadratic,5.143925851867384,0.17657414813261596
2023-01-09,CNY,5.3297,quadratic,5.144334617315861,0.1853653826841386
2023-01-10,CNY,5.3912,quadratic,5.144744208222222,0.24645579177777854
2023-01-11,CNY,5.3915,quadratic,5.145154624586467,0.24634537541353296
2023-01-12,CNY,5.3972,quadratic,5.145565866408595,0.25163413359140474
2023-01-13,CNY,5.4174,quadratic,5.145977933688607,0.2714220663113931
